Birthday,Zip Code,Wear Glasses?,Allergic to Dogs?,Brown Hair?,Blue Eyes?
8/26/1936,14202,Yes,No,Yes,Yes
6/20/2001,14212,Yes,Yes,Yes,No
11/4/1928,14210,No,No,No,Yes
6/17/1926,14210,No,Yes,No,Yes
5/23/1993,14216,Yes,No,No,Yes
6/23/1958,14223,Yes,Yes,Yes,Yes
8/23/1985,14213,No,No,Yes,No
9/31/1953,14213,Yes,No,No,No
3/26/1939,14214,Yes,Yes,Yes,Yes
12/10/1952,14212,No,Yes,Yes,No
4/13/1941,14215,Yes,Yes,No,Yes
11/29/1952,14214,No,Yes,No,Yes
5/19/1973,14206,No,Yes,Yes,Yes
4/6/1945,14215,Yes,Yes,Yes,No
2/1/1957,14216,Yes,Yes,Yes,Yes
10/18/1976,14206,No,No,Yes,Yes
9/10/1938,14212,No,No,Yes,Yes
10/9/1936,14214,No,Yes,Yes,Yes
12/19/1951,14210,No,Yes,Yes,Yes
12/8/1977,14211,No,No,Yes,No
1/11/1925,14208,Yes,Yes,Yes,Yes
6/14/1935,14213,Yes,Yes,Yes,Yes
8/21/1917,14210,No,Yes,Yes,Yes
6/17/1934,14218,Yes,Yes,Yes,Yes
3/16/1945,14201,No,Yes,Yes,Yes
4/5/1943,14210,Yes,Yes,Yes,Yes
8/25/1990,14201,No,No,Yes,No
8/6/1961,14213,No,No,Yes,Yes
9/9/1997,14202,No,Yes,No,Yes
7/11/1974,14212,Yes,Yes,No,No
10/4/1923,14213,No,Yes,No,No
2/9/1968,14201,Yes,Yes,Yes,Yes
4/23/1983,14203,Yes,No,Yes,Yes
9/31/1994,14222,Yes,Yes,Yes,Yes
3/18/1919,14213,No,Yes,Yes,Yes
8/6/1926,14206,No,No,No,Yes
12/6/1978,14201,Yes,No,Yes,Yes
12/13/1964,14212,Yes,Yes,Yes,No
11/14/1940,14225,Yes,Yes,Yes,Yes
10/16/1949,14214,No,Yes,No,Yes
5/13/1941,14223,Yes,Yes,Yes,Yes
5/8/1940,14211,No,No,Yes,Yes
2/10/1920,14223,No,Yes,Yes,Yes
8/23/1915,14214,Yes,Yes,Yes,Yes
7/31/1932,14212,No,Yes,Yes,Yes
9/12/1958,14210,No,No,Yes,No
8/27/1900,14212,Yes,No,No,Yes
2/20/1933,14210,Yes,Yes,No,Yes
2/11/1927,14215,Yes,No,Yes,No
6/29/1986,14213,Yes,No,Yes,Yes
9/6/1962,14215,No,Yes,No,No
3/1/1946,14208,Yes,Yes,No,No
6/27/1985,14201,Yes,Yes,Yes,Yes
9/5/1971,14218,Yes,Yes,Yes,Yes
12/3/1915,14201,No,Yes,No,Yes
5/20/1995,14212,No,No,Yes,No
10/17/1924,14210,Yes,Yes,Yes,No
10/29/1974,14212,No,Yes,Yes,Yes
11/18/1930,14215,No,Yes,Yes,Yes
6/20/1929,14218,Yes,Yes,Yes,Yes
12/30/1908,14204,No,No,Yes,Yes
1/30/2003,14208,No,Yes,No,Yes
4/30/1961,14212,No,No,Yes,Yes
8/5/1921,14215,No,Yes,No,Yes
2/16/1901,14214,Yes,Yes,Yes,Yes
10/31/1983,14218,No,No,No,Yes
9/5/1990,14214,Yes,Yes,Yes,Yes
9/7/1933,14213,No,Yes,Yes,No
2/1/1965,14222,No,No,Yes,Yes
4/29/2000,14204,No,No,Yes,Yes
8/21/1920,14223,No,Yes,Yes,Yes
6/16/2009,14214,No,Yes,Yes,Yes
2/8/1942,14213,Yes,Yes,Yes,Yes
5/30/1924,14213,Yes,No,Yes,Yes
6/8/1985,14214,Yes,Yes,Yes,Yes
11/22/1915,14222,Yes,Yes,No,No
7/20/1947,14203,No,Yes,No,Yes
11/9/1907,14208,No,No,Yes,No
11/25/1941,14223,Yes,Yes,No,No
8/25/1980,14211,Yes,Yes,Yes,Yes
1/12/1978,14204,Yes,No,Yes,Yes
8/25/1936,14210,Yes,Yes,Yes,Yes
3/26/2000,14210,Yes,Yes,Yes,No
1/17/1945,14204,Yes,Yes,Yes,Yes
12/24/2010,14210,Yes,No,Yes,Yes
2/3/1919,14211,No,No,Yes,Yes
6/25/1957,14201,No,No,No,No
10/22/2008,14215,No,Yes,Yes,Yes
12/11/1971,14214,No,No,No,Yes
6/1/1957,14215,No,Yes,No,Yes
8/31/1977,14223,Yes,No,Yes,Yes
6/1/1920,14204,Yes,Yes,Yes,Yes
9/24/1935,14223,Yes,No,Yes,Yes
12/5/1921,14223,No,Yes,No,No
9/23/1979,14204,No,Yes,No,No
3/26/2003,14222,Yes,No,Yes,Yes
6/11/1987,14218,No,Yes,Yes,No
12/22/1932,14210,No,Yes,Yes,Yes
4/3/1959,14210,No,No,No,Yes
7/17/1916,14212,No,No,Yes,No
5/5/1945,14223,No,Yes,Yes,Yes
10/29/1917,14223,No,Yes,Yes,No
7/16/2001,14204,Yes,Yes,Yes,No
12/16/1933,14203,Yes,No,Yes,Yes
12/12/1968,14201,Yes,No,No,Yes
6/13/1953,14206,No,Yes,No,No
12/24/1985,14213,No,Yes,Yes,Yes
4/30/1941,14215,No,Yes,Yes,Yes
5/12/1966,14210,Yes,No,No,Yes
12/23/1927,14223,No,No,Yes,Yes
9/6/1957,14223,No,No,Yes,No
8/30/1981,14202,Yes,No,Yes,Yes
10/19/1952,14223,No,No,Yes,Yes
12/28/1956,14215,No,Yes,No,No
12/18/1969,14213,No,No,No,Yes
4/21/1977,14204,No,No,Yes,Yes
4/1/1926,14215,Yes,No,Yes,Yes
9/3/1930,14204,No,No,Yes,Yes
6/5/1984,14223,No,Yes,Yes,Yes
8/11/1900,14201,Yes,No,Yes,Yes
3/11/1970,14201,Yes,No,No,No
9/21/1940,14206,No,Yes,No,Yes
3/26/1933,14214,Yes,Yes,Yes,No
8/1/1919,14208,Yes,Yes,Yes,Yes
11/1/1969,14204,No,No,No,Yes
2/6/1911,14210,No,Yes,No,Yes
11/18/2004,14218,Yes,No,Yes,Yes
12/20/2006,14210,No,Yes,Yes,Yes
8/28/1917,14201,No,Yes,Yes,Yes
1/20/1957,14216,No,No,Yes,Yes
2/29/1928,14210,No,Yes,Yes,Yes
8/27/1943,14214,No,Yes,Yes,Yes
6/7/1933,14223,Yes,Yes,Yes,Yes
6/6/1916,14222,Yes,Yes,No,No
12/26/1915,14212,No,No,Yes,Yes
7/21/1922,14213,Yes,No,No,Yes
5/31/1970,14223,No,No,Yes,Yes
10/28/1935,14215,No,No,No,Yes
8/20/1925,14223,Yes,Yes,No,Yes
3/6/1955,14202,No,Yes,Yes,Yes
9/17/1972,14214,Yes,No,Yes,Yes
3/28/1959,14208,Yes,No,Yes,Yes
4/7/1911,14215,No,Yes,Yes,Yes
2/18/1969,14203,Yes,Yes,Yes,Yes
5/25/1934,14208,No,Yes,Yes,Yes
1/2/2003,14202,No,Yes,Yes,No
3/12/1948,14204,Yes,Yes,No,Yes
2/4/1991,14214,No,No,No,Yes
11/16/1917,14216,No,No,No,Yes
10/3/1968,14218,No,Yes,Yes,Yes
4/7/2006,14212,No,No,No,Yes
5/3/1900,14212,No,Yes,Yes,Yes
9/28/1911,14215,Yes,No,No,Yes
9/12/1918,14223,No,No,Yes,No
12/7/1900,14222,Yes,No,Yes,Yes
12/19/1964,14218,Yes,No,Yes,Yes
4/11/1972,14201,Yes,No,Yes,Yes
6/15/1973,14202,No,Yes,Yes,Yes
3/27/1918,14208,No,No,Yes,Yes
11/11/1962,14210,No,Yes,Yes,Yes
8/13/1950,14202,No,Yes,No,No
4/5/1977,14214,Yes,No,Yes,Yes
6/7/1971,14215,Yes,Yes,No,No
6/8/1954,14214,No,No,Yes,Yes
10/20/1925,14214,No,Yes,No,Yes
9/30/2006,14201,No,Yes,Yes,Yes
7/19/1986,14218,Yes,No,No,Yes
9/11/1949,14208,Yes,Yes,No,Yes
8/10/1906,14212,No,Yes,Yes,Yes
7/13/1945,14210,No,Yes,Yes,Yes
7/23/1946,14214,No,No,Yes,Yes
12/4/1948,14214,Yes,No,No,Yes
6/16/1944,14212,Yes,No,No,No
3/6/1995,14222,No,Yes,Yes,No
1/10/1907,14202,Yes,Yes,Yes,Yes
3/8/1969,14223,No,Yes,Yes,Yes
10/5/1904,14202,Yes,Yes,Yes,Yes
5/12/1970,14214,Yes,Yes,Yes,Yes
11/20/1993,14223,Yes,Yes,Yes,Yes
1/6/2006,14203,Yes,Yes,Yes,Yes
7/23/1966,14202,Yes,No,Yes,Yes
5/17/2008,14209,No,Yes,Yes,Yes
8/2/1935,14201,Yes,Yes,Yes,Yes
4/14/1945,14204,No,Yes,Yes,Yes
9/15/1946,14218,No,Yes,No,Yes
3/17/1913,14213,Yes,Yes,Yes,No
11/8/1913,14206,No,No,Yes,Yes
2/25/1928,14223,Yes,Yes,Yes,Yes
11/18/1977,14210,Yes,No,Yes,Yes
7/4/1973,14204,Yes,No,Yes,Yes
10/17/1972,14214,No,Yes,No,Yes
9/10/1928,14215,No,No,Yes,Yes
10/23/1947,14204,Yes,Yes,No,Yes
9/2/1946,14214,No,Yes,Yes,Yes
7/28/1912,14215,Yes,Yes,No,Yes
11/26/1979,14206,Yes,No,No,No
11/22/1941,14204,No,Yes,Yes,No
5/20/1938,14213,Yes,No,Yes,Yes
12/14/1922,14215,No,No,Yes,Yes
9/21/1951,14214,No,No,Yes,Yes
12/15/1995,14202,No,No,No,Yes
2/10/1992,14214,No,Yes,Yes,Yes
11/1/1961,14214,Yes,Yes,Yes,No
11/21/1990,14214,Yes,No,No,Yes
2/29/1905,14215,No,Yes,Yes,Yes
6/13/1981,14218,Yes,Yes,Yes,No
5/3/1955,14204,No,Yes,Yes,Yes
9/13/1991,14203,Yes,No,Yes,Yes
1/12/1920,14210,Yes,Yes,No,Yes
7/27/1942,14208,No,Yes,Yes,Yes
6/11/1943,14201,Yes,No,Yes,Yes
7/3/1951,14204,No,Yes,Yes,Yes
5/2/1929,14210,No,No,Yes,Yes
10/29/1903,14212,Yes,No,Yes,Yes
10/19/1971,14204,Yes,Yes,Yes,Yes
1/22/1948,14202,Yes,Yes,No,Yes
10/16/1946,14204,No,No,Yes,Yes
4/25/1953,14213,No,No,No,Yes
5/10/1930,14223,No,Yes,Yes,Yes
6/31/2009,14213,Yes,Yes,No,Yes
12/22/1932,14214,No,No,Yes,Yes
7/6/1980,14204,Yes,No,Yes,Yes
10/24/1988,14214,No,No,No,No
8/9/1913,14218,No,No,Yes,Yes
7/31/1970,14218,No,Yes,Yes,Yes
8/21/2002,14204,Yes,Yes,Yes,No
3/21/1918,14216,No,Yes,Yes,Yes
9/5/1929,14211,Yes,Yes,Yes,Yes
10/10/1938,14212,Yes,No,Yes,Yes
3/10/1982,14214,No,Yes,Yes,Yes
2/5/1907,14206,No,Yes,Yes,Yes
11/24/1970,14223,No,No,Yes,Yes
7/22/1920,14213,No,Yes,No,Yes
12/31/2006,14212,No,Yes,Yes,Yes
5/22/2009,14210,No,No,No,No
12/2/1960,14201,No,Yes,Yes,Yes
12/26/1982,14223,No,Yes,Yes,Yes
10/21/1932,14215,No,Yes,Yes,Yes
10/27/1996,14214,Yes,No,Yes,Yes
5/20/1926,14223,Yes,Yes,No,Yes
10/27/1983,14214,No,Yes,Yes,Yes
3/26/1967,14202,Yes,No,No,Yes
7/16/1901,14218,Yes,Yes,No,Yes
2/15/1927,14212,No,No,Yes,Yes
2/18/1965,14213,No,No,Yes,Yes
2/17/1995,14208,Yes,No,Yes,Yes
10/25/1944,14208,Yes,No,Yes,Yes
3/15/1960,14208,No,No,Yes,Yes
10/13/2001,14210,Yes,Yes,Yes,Yes
2/21/1982,14210,No,Yes,Yes,Yes
12/26/1995,14210,No,No,No,No
12/23/1912,14208,Yes,Yes,Yes,Yes
7/3/1960,14202,No,Yes,No,No
12/9/1940,14208,No,No,No,Yes
5/7/2007,14212,Yes,Yes,Yes,No
5/12/2009,14203,No,Yes,Yes,Yes
1/1/1959,14223,Yes,No,Yes,Yes
9/1/1946,14213,Yes,No,Yes,Yes
9/29/1958,14215,No,No,Yes,Yes
6/23/1918,14210,Yes,Yes,No,Yes
11/6/1983,14215,Yes,No,Yes,Yes
7/28/1934,14212,No,Yes,Yes,Yes
7/5/1957,14215,Yes,Yes,Yes,Yes
2/27/2005,14208,Yes,Yes,Yes,Yes
7/6/1942,14201,Yes,Yes,Yes,Yes
3/25/1970,14208,Yes,No,Yes,Yes
5/30/1907,14223,No,No,No,Yes
7/22/1918,14212,No,Yes,Yes,Yes
12/12/1903,14206,Yes,Yes,Yes,No
5/14/1981,14215,No,Yes,Yes,Yes
10/6/1931,14215,Yes,Yes,Yes,Yes
7/6/1938,14223,No,No,Yes,Yes
9/9/2003,14214,Yes,Yes,Yes,No
1/11/1974,14206,Yes,Yes,Yes,Yes
9/10/1912,14223,Yes,Yes,No,Yes
8/30/1988,14209,No,No,Yes,No
12/5/1932,14213,Yes,Yes,Yes,Yes
7/16/1961,14215,Yes,Yes,Yes,Yes
8/7/1976,14223,Yes,Yes,Yes,Yes
4/27/1963,14213,No,Yes,Yes,Yes
3/25/1982,14207,Yes,Yes,Yes,Yes
10/31/1950,14223,Yes,No,Yes,Yes
9/13/1970,14204,Yes,Yes,No,Yes
8/18/1943,14203,Yes,Yes,No,Yes
3/14/1981,14206,No,Yes,Yes,Yes
12/6/1994,14203,No,Yes,Yes,Yes
1/25/1950,14215,No,No,Yes,Yes
4/7/1996,14214,No,No,No,Yes
9/4/1994,14215,No,No,Yes,Yes
8/19/1909,14213,Yes,No,Yes,Yes
8/14/1914,14211,No,Yes,Yes,Yes
8/19/1991,14210,Yes,Yes,Yes,Yes
11/28/1937,14208,Yes,Yes,Yes,Yes
9/5/2001,14209,No,Yes,Yes,Yes
10/29/1952,14206,No,No,Yes,Yes
12/30/1945,14215,Yes,Yes,No,No
10/7/1959,14204,No,Yes,Yes,Yes
12/8/1965,14208,No,No,Yes,Yes
7/12/1990,14210,No,No,Yes,Yes
4/2/1908,14208,No,No,Yes,Yes
2/6/1989,14210,No,Yes,Yes,Yes
6/17/1934,14213,Yes,No,Yes,No
7/29/1979,14203,No,Yes,No,Yes
12/21/1961,14202,Yes,No,No,Yes
10/2/2006,14214,No,No,Yes,Yes
5/1/1967,14213,No,Yes,No,Yes
10/24/1957,14202,Yes,Yes,Yes,Yes
3/21/1932,14214,Yes,No,Yes,Yes
8/14/1952,14212,No,Yes,Yes,Yes
2/21/1972,14222,No,Yes,Yes,Yes
12/19/1918,14214,Yes,Yes,Yes,Yes
3/12/1914,14214,No,Yes,Yes,Yes
11/1/1911,14203,No,No,Yes,Yes
9/17/1939,14210,Yes,No,Yes,Yes
4/29/1914,14223,No,Yes,Yes,Yes
2/19/1910,14203,Yes,No,Yes,Yes
10/19/1993,14210,Yes,Yes,No,Yes
6/5/1989,14225,No,No,Yes,Yes
8/4/1909,14214,Yes,Yes,No,Yes
5/1/1943,14218,Yes,Yes,Yes,Yes
3/5/1979,14218,No,Yes,Yes,Yes
8/19/1925,14203,Yes,Yes,Yes,Yes
2/2/1907,14202,Yes,Yes,No,Yes
9/16/2009,14218,Yes,Yes,No,Yes
12/20/1989,14211,Yes,No,Yes,Yes
9/21/1973,14212,Yes,No,Yes,Yes
11/26/1927,14206,Yes,Yes,No,Yes
12/4/1910,14206,Yes,Yes,Yes,Yes
2/2/2009,14213,Yes,Yes,Yes,Yes
8/1/1948,14213,No,Yes,Yes,No
11/11/1920,14208,Yes,Yes,No,Yes
11/1/1935,14210,Yes,Yes,Yes,Yes
9/31/1947,14213,No,Yes,No,Yes
8/1/1947,14211,No,No,No,No
7/19/1984,14215,Yes,Yes,No,No
10/4/1973,14216,Yes,Yes,Yes,Yes
9/28/1975,14204,Yes,No,Yes,Yes
11/30/1976,14218,No,No,Yes,No
1/22/1957,14210,No,Yes,Yes,Yes
9/14/1949,14216,Yes,Yes,Yes,Yes
2/27/1939,14212,No,No,Yes,Yes
7/26/1967,14215,Yes,Yes,Yes,Yes
1/17/1922,14215,No,Yes,Yes,Yes
7/5/1968,14210,No,Yes,No,Yes
12/22/1927,14206,No,Yes,Yes,No
9/3/1989,14204,Yes,Yes,Yes,No
1/4/1978,14223,Yes,No,Yes,Yes
6/30/1901,14215,Yes,No,No,Yes
3/24/2006,14212,Yes,Yes,Yes,Yes
5/23/1978,14214,No,Yes,Yes,No
12/25/1935,14218,No,No,Yes,No
5/8/1945,14213,Yes,No,Yes,Yes
3/12/1908,14208,No,No,Yes,Yes
3/21/1965,14215,Yes,Yes,No,No
10/25/1918,14204,No,No,No,Yes
3/2/1988,14213,Yes,No,Yes,Yes
7/15/1946,14214,Yes,No,Yes,Yes
3/28/1931,14210,Yes,No,Yes,Yes
6/2/1908,14213,No,No,Yes,Yes
10/8/1962,14218,Yes,No,Yes,Yes
5/29/1974,14216,Yes,Yes,Yes,Yes
5/20/1916,14218,Yes,Yes,No,Yes
6/24/1988,14204,Yes,No,No,Yes
4/16/1924,14211,Yes,Yes,Yes,Yes
3/25/1973,14201,Yes,Yes,Yes,Yes
1/13/1954,14208,No,Yes,Yes,Yes
8/28/1994,14211,No,No,Yes,Yes
6/3/1996,14223,No,Yes,Yes,Yes
6/6/1906,14202,Yes,Yes,Yes,Yes
6/31/1956,14210,No,No,No,Yes
9/10/1928,14202,Yes,No,Yes,Yes
4/30/1971,14210,Yes,No,Yes,No
7/19/1909,14223,No,Yes,Yes,Yes
2/20/1948,14212,Yes,No,No,Yes
1/8/1984,14214,No,Yes,Yes,Yes
2/11/1922,14208,No,Yes,No,No
4/12/1999,14223,No,No,Yes,Yes
7/23/1986,14223,Yes,Yes,Yes,No
12/4/1961,14208,Yes,No,Yes,Yes
12/28/1993,14208,Yes,No,Yes,Yes
6/11/1997,14202,No,Yes,Yes,Yes
11/24/1936,14212,Yes,No,Yes,Yes
10/4/1945,14208,No,No,Yes,No
2/28/1945,14206,Yes,Yes,No,Yes
9/24/1980,14206,No,Yes,Yes,Yes
4/5/2003,14223,Yes,Yes,Yes,Yes
7/23/2000,14206,No,No,Yes,Yes
8/13/1918,14210,Yes,Yes,Yes,Yes
1/8/2009,14214,No,Yes,Yes,Yes
11/1/1986,14208,Yes,No,No,No
11/20/1960,14215,No,Yes,Yes,Yes
5/12/1905,14206,Yes,No,No,No
5/5/2004,14206,No,Yes,Yes,Yes
12/30/1968,14222,Yes,No,Yes,Yes
2/12/1930,14204,No,Yes,Yes,Yes
3/24/1995,14215,No,No,Yes,Yes
3/31/1916,14201,No,Yes,Yes,Yes
7/11/1954,14208,Yes,Yes,No,Yes
11/29/1976,14204,No,Yes,No,Yes
12/18/1940,14215,Yes,Yes,Yes,Yes
5/25/1963,14213,Yes,Yes,Yes,Yes
4/12/1950,14215,Yes,Yes,Yes,Yes
8/19/1950,14215,No,Yes,Yes,Yes
2/16/1994,14222,Yes,Yes,Yes,Yes
1/16/2010,14204,No,Yes,Yes,No
7/14/2004,14206,Yes,No,Yes,Yes
3/7/2003,14222,Yes,Yes,No,Yes
3/10/2000,14223,Yes,Yes,No,No
1/15/1975,14204,No,Yes,No,Yes
12/14/1953,14222,No,Yes,No,Yes
2/2/1914,14214,Yes,Yes,Yes,Yes
8/1/1997,14214,Yes,No,Yes,Yes
3/31/1955,14206,No,Yes,Yes,No
10/13/1988,14206,Yes,Yes,No,Yes
3/22/1924,14215,No,Yes,Yes,Yes
5/17/1911,14210,No,No,Yes,Yes
9/15/1989,14212,No,Yes,Yes,No
7/29/1906,14214,No,No,Yes,Yes
7/11/1953,14206,Yes,No,No,Yes
6/13/1956,14204,No,Yes,Yes,Yes
4/15/1938,14203,No,Yes,Yes,Yes
9/8/1991,14215,No,Yes,Yes,No
2/21/1966,14213,Yes,Yes,Yes,No
3/10/1922,14208,No,Yes,Yes,Yes
12/3/1921,14223,Yes,No,Yes,Yes
2/24/1971,14202,Yes,No,Yes,Yes
4/7/1940,14203,Yes,No,Yes,Yes
8/6/1957,14208,No,No,Yes,Yes
5/2/1951,14223,Yes,Yes,Yes,Yes
8/31/1963,14210,No,Yes,Yes,Yes
5/7/1973,14213,No,Yes,Yes,Yes
9/30/1981,14223,No,Yes,Yes,Yes
11/5/1999,14210,Yes,No,Yes,No
8/4/1972,14214,No,Yes,Yes,Yes
1/7/1917,14203,Yes,Yes,No,Yes
9/4/1973,14208,No,No,Yes,Yes
1/12/1930,14215,No,No,Yes,Yes
6/14/1902,14206,No,No,Yes,Yes
11/17/1945,14214,Yes,Yes,Yes,Yes
6/30/2009,14216,No,No,Yes,Yes
9/23/1928,14214,No,Yes,Yes,Yes
6/10/1919,14204,No,No,Yes,Yes
1/10/1988,14213,Yes,No,No,Yes
6/4/1989,14208,Yes,No,Yes,No
5/20/1947,14214,No,Yes,Yes,Yes
12/6/1962,14210,No,No,Yes,No
9/14/1916,14203,Yes,Yes,Yes,Yes
6/30/1933,14208,No,Yes,Yes,Yes
7/18/1937,14201,No,Yes,No,Yes
